Date,Time,kWh Forn,kWh Rec,kVARh Forn,kVARh Rec,Vll an mean,Vll bn mean,Vll cn mean,Ia mean,Ib mean,Ic mean,kWh FornCP,kWh RecCP,kVARh FornCP,kVARh RecCP
3/1/14,04:05:00000,666708618,0,1,1,41043710938,38311734375,41161394531,66297531,64505684,68880241,666708618,0,1,1
3/1/14,04:10:00000,660919739,0,0,3569540,41036558594,38179335938,41156183594,65743973,63872948,68636810,660919739,0,0,3569540
3/1/14,04:15:00000,657723938,0,0,6921994,41051644531,37818671875,41175093750,65658493,63785137,68482765,657723938,0,0,6921994
3/1/14,04:20:00000,659313538,0,0,4283901,41083843750,38157449219,41207941406,65557404,63827225,68265335,659313538,0,0,4283901
3/1/14,04:25:00000,661105164,0,0,2970940,41084164063,38334710938,41207578125,65607689,63805801,68447594,661105164,0,0,2970940
3/1/14,04:30:00000,659438538,0,0,2913445,41092964844,38165140625,41217808594,65558182,63688644,68407570,659438538,0,0,2913445
3/1/14,04:35:00000,657609131,0,0,3324059,41113125000,38039136719,41240441406,65548309,63633022,68067986,657609131,0,0,3324059
3/1/14,04:40:00000,655916687,0,0,7393970,40987355469,37800125000,41104921875,65590889,63859043,68164452,655916687,0,0,7393970
3/1/14,04:45:00000,659271545,0,0,5561144,40974007813,37841332031,41088941406,66034058,64153610,68369354,659271545,0,0,5561144
3/1/14,04:50:00000,663670654,0,0,3671688,41000843750,37859914063,41113851563,66347839,64534912,68895485,663670654,0,0,3671688
3/1/14,04:55:00000,662128479,0,0,3278406,40954066406,37901058594,41070496094,66120750,64532562,68728004,662128479,0,0,3278406
3/1/14,05:00:00000,663473511,0,0,4039846,40964460938,37793718750,41081191406,66367065,64736351,68839943,663473511,0,0,4039846
3/1/14,05:05:00000,662775696,0,0,2796884,40936148438,37778652344,41061207031,66369606,64552315,68908875,662775696,0,0,2796884
3/1/14,05:10:00000,661341614,0,1867227,3308030,40930972656,37941921875,41051953125,66123695,64289619,68700890,661341614,0,1867227,3308030
3/1/14,05:15:00000,660831970,0,0,5515670,40923296875,37336558594,41047527344,66613037,64552361,68948929,660831970,0,0,5515670
3/1/14,05:20:00000,657164734,0,0,3673524,40952445313,37574988281,41075679688,65910782,64216614,68347160,657164734,0,0,3673524
